shap_value_EIHOTEL.BO,feature
2.410117913141373e-05,volatility_dch_100
1.6723778992088136e-05,trend_psar_up_indicator_20
1.1504447767005035e-05,trend_vortex_ind_neg_50
1.0020732057259932e-05,volume_em
9.747404506046631e-06,others_dlr_10
7.265746464429976e-06,others_dlr_100
6.003950161241136e-06,trend_ichimoku_conv_100
5.5298349949196835e-06,volume_cmf_200
5.39384417179651e-06,trend_psar_up_indicator_5
5.365207303249322e-06,momentum_stoch_rsi_d_20
5.162090074398571e-06,others_dr
4.772555631187178e-06,momentum_stoch_5
4.686150961999128e-06,volume_em_200
4.213867491470729e-06,momentum_stoch_rsi_k_200
4.18259639145755e-06,diluted_eps_qtr
4.157236855522013e-06,volatility_bbm
4.110166708923153e-06,volatility_bbm_20
4.088498331425732e-06,others_dlr
3.95448003285089e-06,volume_sma_em_5
3.826592055448131e-06,volatility_dcp_200
3.7965059327120654e-06,momentum_uo_20
3.666790535426586e-06,volatility_kch
3.4930023748223498e-06,basic_eps_qtr
3.0672628300490304e-06,trend_visual_ichimoku_b_10
3.036264553272126e-06,momentum_ppo
3.004717263466483e-06,momentum_roc_200
2.957427833674921e-06,trend_ichimoku_a_50
2.8483966491290376e-06,momentum_tsi
2.845785869305364e-06,momentum_ppo_hist_200
2.789669391693028e-06,volume_adi
2.777684278507364e-06,trend_aroon_ind_20
2.7611799882343496e-06,trend_visual_ichimoku_a_50
2.749954827584116e-06,momentum_stoch_rsi_d_50
2.696074140053531e-06,trend_aroon_down_5
2.4965077021817724e-06,volatility_kcw_200
2.4615236190217733e-06,trend_aroon_up_200
2.4088476711229997e-06,volume_nvi_200
2.3633256792451004e-06,trend_macd_10
2.3615791079393994e-06,volatility_kcc_20
2.247137740549854e-06,volatility_kcw_10
2.2376380394236304e-06,trend_kst_sig_5
2.204939437192766e-06,volatility_kcc
2.201887789913608e-06,momentum_stoch
2.1732258530958213e-06,trend_adx_50
2.171003734453201e-06,yesterday_close
2.114656214572032e-06,volatility_bbp_10
2.10574174698101e-06,net_profit_qtr
2.0995704682713197e-06,momentum_stoch_rsi_200
2.015395770362437e-06,trend_trix_100
1.930011643383665e-06,momentum_wr_50
1.929227306750988e-06,trend_macd_diff_10
1.9121398447531258e-06,trend_aroon_down_200
1.8953131190058972e-06,momentum_kama_100
1.8466185289721468e-06,trend_psar_down_indicator_20
1.8308913183735106e-06,volume_obv
1.7586287301331773e-06,trend_aroon_down_20
1.710397218591112e-06,volatility_kchi_100
1.6855971386826738e-06,volume_mfi_50
1.6731028964321948e-06,trend_ichimoku_base_10
1.5494419288982488e-06,others_dlr_20
1.529904875699641e-06,volume_vpt
1.4974123848615935e-06,trend_kst_diff_50
1.4921963884701993e-06,momentum_stoch_rsi_d_200
1.4695938354357094e-06,momentum_stoch_signal_200
1.4441456924448744e-06,trend_macd_signal_10
1.4306703241591734e-06,volume_vwap_20
1.3832967212919003e-06,others_cr_10
1.3743524535585851e-06,trend_mass_index_100
1.3531581895631332e-06,volatility_kcw_100
1.2764529008548695e-06,volatility_bbl_200
1.2465279175971362e-06,others_cr_20
1.244012557624928e-06,trend_ichimoku_base_5
1.229861670170508e-06,momentum_roc_20
1.2249207578561868e-06,volume_mfi
1.2239782383759224e-06,momentum_wr_200
1.2232198365405057e-06,volume_fi_50
1.2168915056989588e-06,volatility_dch_20
1.1986271173776033e-06,volatility_dcw_200
1.1660796393261952e-06,momentum_stoch_rsi
1.163116129551058e-06,momentum_pvo_hist_10
1.1556455755929553e-06,trend_macd_diff_100
1.1469100669265033e-06,trend_vortex_ind_diff_50
1.128971743816112e-06,volatility_dcl_100
1.1201749935914047e-06,trend_kst_diff_10
1.1094960386724113e-06,volatility_bbhi_100
1.1040877603799773e-06,other_expenses_yrly
1.0981952183087788e-06,trend_psar_down_indicator_200
1.0251204612600056e-06,volume_fi
1.003316305720521e-06,volume_vpt_5
9.974119480243333e-07,trend_kst_5
9.813657850968475e-07,momentum_pvo_signal_10
9.72709857741987e-07,trend_ichimoku_b_100
9.72038142774603e-07,momentum_stoch_50
9.253508965634634e-07,volatility_bbli_10
9.23694390756866e-07,volatility_dcl_200
9.191618435191034e-07,trend_macd_signal_100
8.914510661871572e-07,volatility_bbhi_10
8.877564476534098e-07,momentum_stoch_rsi_d
8.668480537703565e-07,volatility_dcw
8.61348012601092e-07,momentum_pvo_hist
8.480739492891062e-07,low
8.458806047926775e-07,trend_sma_fast_50
8.13447678418811e-07,volatility_bbw_200
8.113165688778479e-07,volume_obv_5
8.101088368029626e-07,volume_adi_200
8.036384022032567e-07,trend_sma_fast_20
8.008057097589336e-07,trend_kst_50
7.997443066018714e-07,momentum_pvo_hist_200
7.947780784511602e-07,volatility_kcc_10
7.750565639789791e-07,volatility_bbli_100
7.658362831863169e-07,trend_ema_slow_20
7.39095571325793e-07,volume_em_20
7.271397507748883e-07,trend_aroon_up_5
7.201723884444198e-07,trend_sma_slow_20
7.103668354308556e-07,trend_ichimoku_a_100
6.992703450442043e-07,volume_fi_200
6.908122756252905e-07,trend_aroon_down
6.895136332344846e-07,trend_aroon_ind
6.790833809333673e-07,momentum_stoch_rsi_20
6.761269017101914e-07,volatility_kch_10
6.710614210844512e-07,volume_vwap_5
6.701977538373151e-07,volatility_dcm_10
6.690636126931956e-07,volatility_bbl_20
6.192987188702276e-07,open
5.793153874652286e-07,trend_kst_diff_5
5.745265911932325e-07,volatility_dch_10
5.71204883060766e-07,trend_cci
5.66215668379982e-07,momentum_stoch_rsi_5
5.390002390310603e-07,trend_ema_fast_100
5.290448814260321e-07,volatility_dcm_20
5.182383749990828e-07,momentum_ppo_hist_20
5.177144124766895e-07,trend_sma_fast_10
5.103022767706643e-07,momentum_rsi
4.997882750829529e-07,trend_ema_fast_20
4.713291047848678e-07,volatility_kcw_20
4.639392676131837e-07,volatility_kcp_200
4.569773624894308e-07,volatility_kchi_10
4.4261457827172383e-07,trend_ema_fast_5
3.9696695148580234e-07,volatility_dcl_10
3.9614393727979726e-07,volatility_dch
3.5680523256189783e-07,trend_adx_pos
3.4237468993790987e-07,volatility_kcli_20
3.2881407755714e-07,volatility_bbhi_200
2.9876784581047483e-07,profit_loss_from_ordinary_activities_before_tax_qtr
2.9630455014341603e-07,momentum_rsi_50
2.9277990555054027e-07,volatility_kcp_100
2.8087534359260686e-07,volume_nvi_20
2.7878318845078684e-07,trend_ema_slow_50
2.763369256302255e-07,momentum_ppo_signal_200
2.734918093044296e-07,momentum_stoch_rsi_k_5
2.4868456197604814e-07,volatility_bbl_5
2.313400820578669e-07,volume_sma_em_50
1.9876447377697015e-07,trend_macd_diff_5
1.8391122697782104e-07,momentum_rsi_20
1.7852246749367152e-07,trend_vortex_ind_neg_5
1.5155309232750833e-07,trend_adx_neg_20
1.5076597447640783e-07,volume_mfi_20
1.4918201769943785e-07,momentum_kama
1.3698051415577337e-07,trend_psar_up_indicator_50
1.368098876225792e-07,volatility_bbh_20
1.3641023824017035e-07,trend_adx_pos_5
1.2435507783733735e-07,tax_qtr
1.1900468790128749e-07,volatility_dcp
1.1757287087042614e-07,trend_macd_100
1.1000277026540763e-07,momentum_pvo_10
8.706182953224433e-08,net_profit_loss_from_ordinary_activities_after_tax_qtr
8.005318645906569e-08,momentum_ppo_200
7.914090253185415e-08,close
7.866716839975615e-08,trend_vortex_ind_diff_5
7.447172519661219e-08,trend_trix_10
6.554588110279121e-08,trend_stc_5
3.621042313762378e-08,momentum_pvo_signal_100
2.4768520966030506e-08,momentum_pvo_20
2.0699972467902143e-08,trend_visual_ichimoku_a_200
7.398962162435961e-09,trend_visual_ichimoku_a_20
5.034571266869201e-09,momentum_kama_20
0.0,momentum_stoch_rsi_50
0.0,momentum_ppo_hist_50
0.0,others_cr_50
0.0,others_dlr_50
0.0,others_dr_50
0.0,trend_adx
0.0,trend_adx_neg_200
0.0,momentum_kama_50
0.0,trend_adx_200
0.0,trend_adx_pos_200
0.0,momentum_pvo_signal_50
0.0,momentum_ppo_signal_50
0.0,momentum_stoch_rsi_k_50
0.0,trend_stc
0.0,momentum_ppo_50
0.0,trend_cci_200
0.0,momentum_ao_50
0.0,trend_ichimoku_base
0.0,trend_visual_ichimoku_b_50
0.0,trend_ichimoku_a
0.0,trend_aroon_down_50
0.0,momentum_tsi_50
0.0,trend_ichimoku_b
0.0,trend_aroon_ind_50
0.0,momentum_roc_50
0.0,volatility_atr_50
0.0,trend_ichimoku_base_50
0.0,volatility_kcl_50
0.0,volatility_kcc_50
0.0,volatility_bbli_50
0.0,volatility_bbhi_50
0.0,volatility_bbp_50
0.0,volatility_bbl_50
0.0,volatility_bbh_50
0.0,volatility_bbm_50
0.0,volume_nvi_50
0.0,volume_vwap_50
0.0,volume_em_50
0.0,volume_obv_50
0.0,volume_adi_50
0.0,volume_sma_em
0.0,momentum_pvo_hist_20
0.0,momentum_pvo_signal_20
0.0,volatility_kch_50
0.0,volatility_kcw_50
0.0,trend_visual_ichimoku_b_200
0.0,volatility_kcp_50
0.0,volatility_kcw
0.0,volatility_bbhi
0.0,trend_sma_slow_50
0.0,trend_macd_diff_50
0.0,trend_macd_signal_50
0.0,trend_macd_50
0.0,volatility_ui_50
0.0,volume_obv_100
0.0,volatility_dcp_50
0.0,volatility_dcw_50
0.0,volatility_dcm_50
0.0,volatility_dch_50
0.0,volatility_dcl_50
0.0,volatility_kcli_50
0.0,volatility_kchi_50
0.0,volume_adi_100
0.0,momentum_uo
0.0,volume_cmf_100
0.0,momentum_stoch_100
0.0,trend_dpo_200
0.0,trend_sma_fast
0.0,momentum_ppo_hist_100
0.0,momentum_ppo_signal_100
0.0,momentum_ppo_100
0.0,momentum_roc_100
0.0,momentum_ao_100
0.0,momentum_wr_100
0.0,momentum_stoch_signal_100
0.0,momentum_uo_100
0.0,trend_visual_ichimoku_b_100
0.0,momentum_tsi_100
0.0,momentum_stoch_rsi_d_100
0.0,momentum_stoch_rsi_k_100
0.0,momentum_stoch_rsi_100
0.0,momentum_rsi_100
0.0,trend_psar_down_indicator_100
0.0,trend_psar_up_indicator_100
0.0,trend_aroon_ind_100
0.0,trend_aroon_down_100
0.0,trend_mass_index_200
0.0,trend_trix_200
0.0,trend_macd_signal
0.0,trend_vortex_ind_diff_200
0.0,volatility_ui_200
0.0,volatility_dcm_200
0.0,volatility_dch_200
0.0,volatility_kcli
0.0,volatility_kcli_200
0.0,volatility_kchi_200
0.0,volatility_kch_200
0.0,volatility_kcc_200
0.0,volatility_bbli_200
0.0,trend_macd_200
0.0,trend_macd_signal_200
0.0,trend_macd_diff_200
0.0,trend_sma_fast_200
0.0,volume_vwap_200
0.0,trend_vortex_ind_pos_200
0.0,trend_vortex_ind_neg_200
0.0,volatility_atr
0.0,volatility_ui
0.0,trend_macd
0.0,trend_aroon_up_100
0.0,trend_cci_100
0.0,volume_fi_100
0.0,volatility_bbp_100
0.0,volatility_dcm_100
0.0,trend_mass_index
0.0,trend_dpo
0.0,trend_kst
0.0,trend_kst_sig
0.0,trend_ichimoku_b_200
0.0,trend_stc_200
0.0,trend_kst_diff
0.0,trend_ichimoku_conv
0.0,momentum_kama_200
0.0,trend_adx_neg_100
0.0,volatility_bbl_100
0.0,volatility_bbh_100
0.0,volatility_bbm_100
0.0,volume_nvi_100
0.0,volume_mfi_100
0.0,volume_vwap_100
0.0,volume_vpt_100
0.0,volume_sma_em_100
0.0,volume_em_100
0.0,trend_ichimoku_a_200
0.0,trend_ichimoku_base_200
0.0,trend_ichimoku_conv_200
0.0,trend_trix
0.0,trend_adx_pos_100
0.0,trend_adx_100
0.0,trend_stc_100
0.0,trend_sma_slow
0.0,trend_ema_fast
0.0,trend_ichimoku_base_100
0.0,trend_ema_slow
0.0,trend_kst_diff_100
0.0,trend_kst_sig_100
0.0,trend_kst_100
0.0,trend_dpo_100
0.0,trend_vortex_ind_pos
0.0,trend_vortex_ind_neg
0.0,trend_kst_sig_200
0.0,trend_kst_diff_200
0.0,trend_vortex_ind_pos_100
0.0,trend_ema_slow_100
0.0,trend_sma_slow_100
0.0,trend_vortex_ind_diff
0.0,volatility_bbw_100
0.0,volatility_kcp
0.0,others_dr_200
0.0,trend_mass_index_10
0.0,depreciation_and_amortisation_expense_yrly
0.0,trend_ema_slow_10
0.0,agg_polarity
0.0,trend_sma_slow_10
0.0,volatility_kcc_5
0.0,volatility_kch_5
0.0,volatility_kcl_5
0.0,agg_compound
0.0,topic_polarity
0.0,topic_compound
0.0,volatility_dcw_10
0.0,volatility_kcw_5
0.0,ticker_polarity
0.0,ticker_compound
0.0,volatility_kcp_5
0.0,inr=x_percent_change
0.0,volatility_kchi_5
0.0,volatility_kcli_5
0.0,volatility_dcl_5
0.0,profit_after_interest_but_before_exceptional_items_yrly
0.0,trend_dpo_10
0.0,volatility_dcm_5
0.0,trend_kst_sig_10
0.0,momentum_stoch_rsi_d_10
0.0,momentum_stoch_rsi_k_10
0.0,momentum_stoch_rsi_10
0.0,momentum_rsi_10
0.0,trend_psar_down_indicator_10
0.0,trend_psar_up_indicator_10
0.0,trend_aroon_ind_10
0.0,trend_aroon_down_10
0.0,trend_aroon_up_10
0.0,trend_visual_ichimoku_a_10
0.0,net_profit_yrly
0.0,trend_adx_neg_10
0.0,trend_adx_pos_10
0.0,trend_adx_10
0.0,trend_stc_10
0.0,trend_ichimoku_b_10
0.0,volatility_bbhi_5
0.0,trend_ichimoku_conv_10
0.0,volatility_bbli_5
0.0,volatility_dch_5
0.0,volatility_bbw_10
0.0,momentum_uo_10
0.0,momentum_ao_5
0.0,treasury_yeild_10_years_percent_change
0.0,volatility_dcw_5
0.0,usdx-index_percent_change
0.0,^nsei_percent_change
0.0,momentum_stoch_rsi_d_5
0.0,momentum_rsi_5
0.0,^bsesn_percent_change
0.0,volatility_dcp_5
0.0,volatility_atr_5
0.0,volatility_ui_5
0.0,trend_visual_ichimoku_b_5
0.0,trend_visual_ichimoku_a_5
0.0,trend_cci_5
0.0,trend_adx_neg_5
0.0,trend_macd_5
0.0,trend_ichimoku_conv_5
0.0,trend_macd_signal_5
0.0,^gspc_percent_change
0.0,sha_percent_change
0.0,momentum_wr_5
0.0,momentum_roc_5
0.0,volatility_bbh_10
0.0,momentum_ppo_5
0.0,volatility_bbm_10
0.0,volume_nvi_10
0.0,volume_mfi_10
0.0,volume_vwap_10
0.0,volume_vpt_10
0.0,volume_sma_em_10
0.0,volume_em_10
0.0,volume_fi_10
0.0,volume_cmf_10
0.0,volume_obv_10
0.0,volume_adi_10
0.0,others_cr_5
0.0,others_dlr_5
0.0,others_dr_5
0.0,momentum_kama_5
0.0,momentum_pvo_hist_5
0.0,momentum_pvo_5
0.0,cl=f_percent_change
0.0,momentum_ppo_signal_5
0.0,momentum_tsi_10
0.0,volatility_bbp_5
0.0,momentum_stoch_10
0.0,momentum_pvo
0.0,trend_stc_20
0.0,momentum_stoch_signal_10
0.0,trend_adx_20
0.0,trend_adx_pos_20
0.0,volume_adi_5
0.0,volatility_dcl_20
0.0,momentum_ppo_signal
0.0,volume_fi_5
0.0,other_income_qtr
0.0,volatility_kchi_20
0.0,volatility_kcp_20
0.0,volume_cmf_5
0.0,volatility_bbli_20
0.0,trend_ichimoku_base_20
0.0,trend_ichimoku_b_20
0.0,depreciation_and_amortisation_expense_qtr
0.0,volatility_ui_20
0.0,trend_macd_20
0.0,trend_macd_signal_20
0.0,trend_macd_diff_20
0.0,momentum_pvo_signal
0.0,trend_vortex_ind_pos_20
0.0,trend_vortex_ind_neg_20
0.0,trend_vortex_ind_diff_20
0.0,trend_trix_20
0.0,trend_mass_index_20
0.0,trend_dpo_20
0.0,trend_ichimoku_a_20
0.0,trend_kst_20
0.0,trend_kst_sig_20
0.0,trend_kst_diff_20
0.0,volatility_bbw_20
0.0,volatility_bbhi_20
0.0,trend_ichimoku_conv_20
0.0,volume_nvi_5
0.0,basic_eps_yrly
0.0,volatility_bbh_5
0.0,momentum_ppo_hist_10
0.0,volatility_bbm_5
0.0,other_income_yrly
0.0,momentum_ppo_signal_10
0.0,momentum_stoch_20
0.0,profit_loss_from_ordinary_activities_before_tax_yrly
0.0,net_profit_loss_from_ordinary_activities_after_tax_yrly
0.0,profit_after_interest_but_before_exceptional_items_qtr
0.0,momentum_stoch_signal_20
0.0,momentum_ppo_10
0.0,diluted_eps_yrly
0.0,volume_vpt_20
0.0,volume_mfi_5
0.0,momentum_roc_10
0.0,volume_em_5
0.0,momentum_ao_10
0.0,momentum_wr_10
-5.3757195795767556e-09,others_cr
-8.828197296535026e-09,volume_vwap
-1.3095543211699353e-08,momentum_ppo_hist
-1.4172491697202034e-08,momentum_ao_20
-3.688686298022408e-08,trend_ichimoku_a_5
-4.869862306545367e-08,volatility_atr_200
-6.696719127263701e-08,volatility_kcl_200
-7.116198890234538e-08,momentum_stoch_signal
-7.381668460951311e-08,trend_kst_10
-7.507159505582544e-08,momentum_pvo_100
-7.729071021835724e-08,volatility_dcp_100
-8.10081751093948e-08,volatility_atr_20
-8.614071287105629e-08,momentum_wr_20
-1.0056556179110695e-07,trend_cci_50
-1.0793073952558697e-07,trend_psar_down_indicator_50
-1.110026321685923e-07,volatility_bbw_5
-1.1938844933179646e-07,momentum_stoch_rsi_k_20
-1.1979929823378096e-07,momentum_uo_50
-1.2041763900624017e-07,momentum_pvo_50
-1.2298535157041694e-07,hsi_percent_change
-1.272525432953008e-07,others_dr_20
-1.4150545591937356e-07,others_dlr_200
-1.6417117916483109e-07,trend_aroon_up_50
-1.7349563155499954e-07,trend_ema_fast_50
-1.7769075255719587e-07,volatility_bbw_50
-1.810385372374861e-07,momentum_stoch_signal_50
-2.2913902044528992e-07,trend_sma_slow_5
-2.3757859122892697e-07,trend_ema_slow_5
-2.4294876166463313e-07,volatility_dcw_20
-2.503220069309101e-07,trend_ichimoku_b_5
-2.6068071885677164e-07,trend_cci_20
-2.6077193713472007e-07,volatility_bbl_10
-2.627500270737907e-07,volatility_dcl
-2.6425269227530204e-07,volatility_bbp
-2.6713598541551587e-07,volume_sma_em_20
-2.7430539830944327e-07,trend_dpo_5
-2.828000454137512e-07,trend_mass_index_50
-3.1366226514890614e-07,trend_visual_ichimoku_a_100
-3.1441726301267347e-07,volatility_kcli_100
-3.67390159839966e-07,trend_ichimoku_a_10
-3.8011220415932714e-07,trend_adx_5
-3.827501828209258e-07,volatility_bbw
-3.854368693705897e-07,volatility_bbli
-4.1108627136514223e-07,trend_kst_200
-4.1769809308409825e-07,trend_kst_sig_50
-4.190675245134688e-07,volatility_kch_100
-4.289681473740314e-07,trend_sma_slow_200
-4.416479348207917e-07,trend_visual_ichimoku_a
-4.4958811792236387e-07,volatility_bbp_20
-4.6201484562369317e-07,trend_vortex_ind_diff_10
-4.622979171079923e-07,trend_visual_ichimoku_b
-4.62848554330411e-07,trend_aroon_ind_5
-4.853224737420551e-07,trend_adx_neg
-5.062510302296654e-07,trend_sma_fast_100
-5.430400824317277e-07,other_expenses_qtr
-5.460850501380679e-07,high
-5.609257605182589e-07,momentum_pvo_signal_5
-5.686020091232953e-07,trend_sma_fast_5
-5.851543177345452e-07,trend_ema_fast_200
-6.048451093794831e-07,trend_vortex_ind_diff_100
-6.530396735567033e-07,volatility_bbh
-6.777700855215009e-07,others_dr_10
-7.303714942096192e-07,trend_psar_down_indicator_5
-7.314075636530221e-07,momentum_ppo_hist_5
-7.638560030813992e-07,momentum_pvo_hist_50
-7.727042984026028e-07,trend_ema_slow_200
-8.130200256935852e-07,volatility_dcm
-8.200272510464641e-07,trend_aroon_up_20
-8.208033919811258e-07,trend_vortex_ind_pos_10
-8.277867542829221e-07,volume_vpt_50
-8.446870348307152e-07,momentum_pvo_200
-8.644544371863743e-07,trend_trix_50
-8.905769792483132e-07,momentum_ao
-9.02418608246273e-07,trend_vortex_ind_neg_10
-9.110733896765762e-07,volume_cmf_50
-9.39043591188163e-07,volatility_kcc_100
-9.413833973225064e-07,volatility_dcw_100
-9.648466196659224e-07,volatility_bbh_200
-9.79140925176112e-07,others_cr_200
-9.93270695433724e-07,momentum_stoch_rsi_k
-1.0041454331842485e-06,volume_mfi_200
-1.0502697569961066e-06,volatility_atr_100
-1.0632400768512744e-06,volatility_kch_20
-1.1018276093688103e-06,volatility_kcl_20
-1.112557339369298e-06,trend_ema_fast_10
-1.1734502676917184e-06,volatility_dcp_20
-1.2046694151821676e-06,others_dr_100
-1.218962023939233e-06,trend_trix_5
-1.2588814457325286e-06,trend_ichimoku_b_50
-1.2809730225147312e-06,volume_adi_20
-1.3114233911100157e-06,trend_macd_diff
-1.315456661077776e-06,tax_yrly
-1.3333548843207678e-06,trend_aroon_up
-1.3822752716398405e-06,momentum_uo_5
-1.3898648473654918e-06,trend_vortex_ind_neg_100
-1.4048359590582434e-06,momentum_wr
-1.6655335936741454e-06,volatility_kcp_10
-1.6953584222762192e-06,trend_stc_50
-1.7303667701560196e-06,volume_cmf_20
-1.746949600121927e-06,momentum_tsi_5
-1.7796857734034463e-06,trend_dpo_50
-1.7797307495020169e-06,volatility_ui_100
-1.8696932610956659e-06,trend_psar_down_indicator
-1.9520576760614265e-06,trend_adx_pos_50
-1.9939215179860545e-06,volume_nvi
-2.0220774944735994e-06,volume_obv_20
-2.0984990269197503e-06,momentum_tsi_20
-2.1764009168156575e-06,volatility_ui_10
-2.1860989209834163e-06,trend_mass_index_5
-2.223393808921328e-06,others_cr_100
-2.25081760604464e-06,volume_cmf
-2.301417520233808e-06,volatility_dcp_10
-2.3159000206704924e-06,momentum_stoch_200
-2.365642756880881e-06,momentum_ao_200
-2.3699721086725406e-06,volatility_kchi
-2.4260100466341274e-06,momentum_pvo_hist_100
-2.5279809667803845e-06,trend_adx_neg_50
-2.5754368181447633e-06,momentum_tsi_200
-2.935097262045721e-06,trend_cci_10
-2.935655132643923e-06,volume_sma_em_200
-3.0360692800102584e-06,volume_vpt_200
-3.1065732351870986e-06,expenditure_qtr
-3.116386178781139e-06,trend_vortex_ind_pos_5
-3.1238775285237955e-06,expenditure_yrly
-3.139958390585778e-06,momentum_kama_10
-3.1567153150623623e-06,volatility_kcl
-3.265023114772664e-06,volatility_bbl
-3.2848931390977407e-06,volume_obv_200
-3.304532489708978e-06,trend_visual_ichimoku_b_20
-3.3587101329907135e-06,volume
-3.556146185160517e-06,adj close
-3.5832447372561273e-06,trend_psar_up_indicator_200
-3.8806812345920585e-06,momentum_uo_200
-3.9547489629980225e-06,volatility_atr_10
-4.058478075032677e-06,trend_psar_up_indicator
-4.27302826359917e-06,trend_ichimoku_conv_50
-4.320963069738124e-06,^sti_percent_change
-4.341106623357619e-06,momentum_rsi_200
-4.485698046405179e-06,momentum_ppo_signal_20
-4.625626094172481e-06,momentum_ppo_20
-4.670732557101789e-06,volatility_kcl_10
-4.927507663860613e-06,momentum_pvo_signal_200
-4.961815716441066e-06,volatility_bbp_200
-5.496101800351295e-06,volatility_kcl_100
-6.25904941161114e-06,volatility_bbm_200
-7.20091453355624e-06,momentum_stoch_signal_5
-9.830281946274376e-06,volatility_kcli_10
-1.1099676397284469e-05,momentum_roc
-1.882244948218306e-05,trend_vortex_ind_pos_50
-2.114989209559319e-05,volume_fi_20
-4.746625423140458e-05,trend_aroon_ind_200
