shap_value_TV18BRDCST.BO,feature
1.2995101174843323e-05,momentum_wr_20
1.1845913441566512e-05,momentum_kama_10
1.1586593489080301e-05,trend_kst_diff_50
6.67706596278385e-06,trend_psar_up_indicator
5.9917792641090455e-06,trend_sma_fast_5
5.915715738833384e-06,momentum_wr_50
5.7447508917982586e-06,momentum_stoch_signal_200
5.501616163466854e-06,volatility_bbh_20
5.316203013312121e-06,momentum_stoch_200
5.085532514216263e-06,momentum_rsi_200
4.838079424756021e-06,trend_stc_50
4.796706560543376e-06,momentum_stoch_5
4.659584408600848e-06,profit_loss_from_ordinary_activities_before_tax_qtr
4.635838970227625e-06,others_cr_100
4.430044230774083e-06,volume_vwap
4.380781721235804e-06,volatility_bbl_200
4.286703393604435e-06,volume_sma_em_200
4.280536547695092e-06,momentum_pvo_signal_10
3.953586561240478e-06,trend_aroon_up_100
3.932380106758593e-06,volume_fi_200
3.908155621389761e-06,others_dr
3.837559130894849e-06,expenditure_yrly
3.802100766450422e-06,volume_em_200
3.5281783184242986e-06,trend_ema_slow_100
3.47052352479246e-06,trend_aroon_up
3.1145088350778232e-06,trend_adx_50
3.100106634782653e-06,momentum_roc_200
2.734285492219801e-06,trend_psar_down_indicator_50
2.687789106283574e-06,adj close
2.6856792373643228e-06,trend_ema_slow_50
2.6679627387846276e-06,volume_mfi_200
2.6221762384376777e-06,trend_kst_5
2.6168869675087015e-06,others_cr_20
2.554634726603276e-06,trend_psar_up_indicator_50
2.5408278473332577e-06,trend_sma_fast_100
2.529543211451506e-06,momentum_kama_20
2.525535833001922e-06,trend_sma_fast
2.425342150029659e-06,volume_fi
2.403459836714653e-06,momentum_stoch_rsi_k_200
2.3899859552139596e-06,trend_macd_100
2.290526010744858e-06,volume_vwap_20
2.276223879865495e-06,momentum_kama_200
2.2599038552360256e-06,momentum_ppo_20
2.2495452202711775e-06,trend_kst_sig_50
2.2417813368200506e-06,volatility_dcm_10
2.167409845585302e-06,volatility_bbw_200
2.1461020379242525e-06,trend_adx_5
2.050106744982712e-06,momentum_stoch_signal_20
2.028123626255467e-06,volume_sma_em_20
2.022510999819173e-06,momentum_stoch_rsi_d
1.989554040875806e-06,volatility_bbhi
1.972610283731367e-06,volatility_kcl_10
1.95339700742646e-06,trend_dpo_50
1.9432822357108433e-06,volatility_dcm_20
1.943058208213318e-06,others_dr_200
1.9281558243151707e-06,volume_vpt_200
1.9185315062546275e-06,momentum_pvo_200
1.91013114070347e-06,basic_eps_qtr
1.8821390103307776e-06,others_dlr
1.8647990455522512e-06,volatility_kcc_200
1.8234398243284697e-06,momentum_stoch_rsi_d_200
1.7864055626089197e-06,momentum_stoch_rsi
1.750092945103076e-06,trend_macd_signal_10
1.7480543392241142e-06,close
1.7451665301335241e-06,trend_adx_pos_5
1.723400494735433e-06,momentum_pvo_50
1.583183784019242e-06,momentum_stoch_rsi_200
1.550408043467802e-06,others_cr_10
1.5408230011968852e-06,trend_psar_down_indicator
1.489045193487379e-06,volatility_bbhi_10
1.4582065655812063e-06,momentum_stoch_signal_5
1.4096448528316746e-06,others_dr_10
1.3943438548440071e-06,trend_sma_slow_10
1.3839194105088067e-06,net_profit_loss_from_ordinary_activities_after_tax_qtr
1.3672856900465461e-06,volatility_bbp_50
1.3544607520338687e-06,momentum_ao_200
1.34173136538898e-06,trend_ichimoku_a_50
1.3415674133687944e-06,trend_vortex_ind_pos_50
1.3386881100977887e-06,volume_cmf_200
1.3318707638113653e-06,volatility_dcp_200
1.3203088569818188e-06,trend_mass_index_50
1.2819380210616718e-06,trend_vortex_ind_diff_100
1.2794441069235186e-06,momentum_pvo_10
1.2541533057605076e-06,momentum_wr
1.2435526816439219e-06,trend_ichimoku_b_10
1.2328957060713633e-06,trend_aroon_down_100
1.2224036948655995e-06,volatility_bbp_10
1.2147610242808516e-06,volatility_dch_10
1.1989128068429957e-06,volatility_dcp_10
1.1819975183818892e-06,momentum_uo_20
1.1810213032974696e-06,others_cr
1.146249868437905e-06,trend_aroon_down_20
1.1301202719559467e-06,volatility_kcp_10
1.1229724091235299e-06,momentum_ppo_hist_200
1.1200474705312871e-06,volatility_kcw_200
1.09422441346506e-06,high
1.081680125619779e-06,volatility_dcl_100
1.0702343179384877e-06,trend_cci_50
1.0697549921965135e-06,volatility_kcc_100
1.0516657529799973e-06,momentum_rsi_50
1.0478003017870258e-06,volatility_bbhi_100
1.0427973129130253e-06,trend_adx_pos
1.0250515896086268e-06,momentum_ao_20
1.0229936105236066e-06,trend_sma_slow_5
1.0118343784682618e-06,volume_nvi
1.0025131131339851e-06,trend_macd_diff_100
9.443227204014769e-07,trend_ichimoku_conv_100
9.231797197293839e-07,volume_nvi_20
8.762992805258765e-07,volatility_dcl_10
8.59281092015965e-07,trend_ichimoku_a_10
8.350527338380366e-07,trend_stc_5
8.274070766220144e-07,volatility_kcw_10
8.210926665150248e-07,volume_sma_em
8.173765021200141e-07,trend_aroon_ind_5
7.976336825011647e-07,momentum_stoch_rsi_5
7.835960424120065e-07,trend_macd_signal_100
7.7846364375121e-07,trend_psar_up_indicator_5
7.74392073673505e-07,volume_em_5
7.675049239860025e-07,tax_yrly
7.562760447988415e-07,trend_trix_10
7.550537281041682e-07,volatility_dcw
7.519264536685834e-07,volume_em
7.501992760241782e-07,trend_kst_diff_5
7.330276825250595e-07,trend_visual_ichimoku_a_20
7.314546969100927e-07,trend_ema_fast_10
7.023908791806672e-07,volatility_ui_10
6.964953890597189e-07,trend_ichimoku_b_5
6.19759129203694e-07,volatility_dcl
6.100001051891717e-07,trend_psar_up_indicator_200
6.034155724390496e-07,trend_visual_ichimoku_a_200
5.86176094945255e-07,trend_sma_slow_200
5.488676033229595e-07,volatility_bbm_200
5.397119400991867e-07,volatility_kcw_20
5.137652682688166e-07,volatility_kch_200
5.093191171870143e-07,momentum_stoch_rsi_k_5
5.040637799237992e-07,trend_visual_ichimoku_b_50
4.87777361369477e-07,trend_aroon_up_20
4.872528967342211e-07,trend_ema_slow_200
4.692386434679029e-07,volume_cmf_20
4.6885347719118294e-07,volatility_atr_200
4.4595240564362003e-07,volume_adi_50
4.403552857364387e-07,volatility_kchi
4.337242170979459e-07,trend_vortex_ind_neg_50
4.156894890711004e-07,volatility_kchi_100
4.043448735216164e-07,volatility_dcm_200
4.016893356865596e-07,trend_vortex_ind_neg_100
3.8014140237125276e-07,volatility_dcw_100
3.706995472043772e-07,volatility_kcli
3.698268025632089e-07,volatility_dcm_100
3.5105997748933024e-07,momentum_ppo_hist
2.937037854978053e-07,volatility_bbw
2.7992503532883003e-07,trend_sma_fast_10
2.759746140498781e-07,volatility_kcp_200
2.6805810807025566e-07,momentum_stoch_rsi_d_5
2.601273413399585e-07,volume
2.5693330737840217e-07,volatility_dch_200
2.456542175151222e-07,trend_psar_up_indicator_20
2.3958077979174144e-07,trend_ichimoku_conv_5
2.2061237280186218e-07,volatility_ui_200
2.1457674198429187e-07,volatility_ui_100
2.043276562417714e-07,momentum_pvo_signal_100
2.0400632980536886e-07,momentum_pvo_hist_200
2.0154178606170043e-07,trend_aroon_ind_20
1.9330223972111304e-07,volatility_bbl_5
1.8691139898767503e-07,trend_ema_fast_200
1.60078559387753e-07,trend_vortex_ind_pos_10
1.456604843178751e-07,momentum_ppo_signal_5
1.4285973880345292e-07,volatility_kchi_200
1.425871952247169e-07,trend_visual_ichimoku_a_5
1.3061997279431337e-07,volatility_dcp
1.286389454050772e-07,trend_kst_50
1.2547930404496485e-07,trend_aroon_ind_50
9.786208731895787e-08,trend_aroon_down_5
7.612704657762308e-08,momentum_tsi_50
4.966219174884772e-08,volatility_dcl_200
4.0910659010623006e-08,volume_em_20
3.8034445144214395e-08,volatility_bbhi_200
2.4813254360145767e-08,momentum_tsi_200
2.0549768446595558e-08,trend_sma_slow
1.895361581519585e-08,trend_vortex_ind_pos_200
2.923489560549307e-09,volume_sma_em_5
0.0,momentum_ao_50
0.0,momentum_stoch_rsi_50
0.0,trend_ichimoku_a
0.0,momentum_roc_50
0.0,momentum_stoch_rsi_k_50
0.0,momentum_stoch_rsi_d_50
0.0,momentum_ppo_50
0.0,momentum_stoch_50
0.0,others_dlr_50
0.0,momentum_ppo_signal_50
0.0,momentum_ppo_hist_50
0.0,volume_nvi_100
0.0,volume_mfi_100
0.0,volume_vwap_100
0.0,volume_vpt_100
0.0,volume_sma_em_100
0.0,volume_em_100
0.0,volume_fi_100
0.0,volume_cmf_100
0.0,volume_obv_100
0.0,volume_adi_100
0.0,others_cr_50
0.0,trend_stc
0.0,others_dr_50
0.0,momentum_kama_50
0.0,momentum_pvo_hist_50
0.0,momentum_pvo_signal_50
0.0,trend_ichimoku_base
0.0,trend_ichimoku_b
0.0,trend_sma_fast_50
0.0,trend_adx
0.0,volatility_bbl_50
0.0,volatility_kcp_50
0.0,volatility_kcw_50
0.0,volatility_kch_50
0.0,volatility_kcc_50
0.0,volatility_bbli_50
0.0,volatility_bbhi_50
0.0,volatility_bbw_50
0.0,volatility_bbh_50
0.0,volatility_kcli_50
0.0,volatility_bbm_50
0.0,volume_nvi_50
0.0,other_income_yrly
0.0,volume_sma_em_50
0.0,volume_fi_50
0.0,volume_obv_50
0.0,momentum_pvo_signal_20
0.0,volatility_kchi_50
0.0,volatility_dcl_50
0.0,^nsei_percent_change
0.0,volatility_bbh_100
0.0,usdx-index_percent_change
0.0,profit_after_interest_but_before_exceptional_items_qtr
0.0,net_profit_loss_from_ordinary_activities_after_tax_yrly
0.0,treasury_yeild_10_years_percent_change
0.0,momentum_uo
0.0,profit_loss_from_ordinary_activities_before_tax_yrly
0.0,trend_sma_slow_50
0.0,trend_macd_diff_50
0.0,volatility_dch_50
0.0,trend_macd_signal_50
0.0,trend_macd_50
0.0,volatility_ui_50
0.0,volatility_atr_50
0.0,volatility_dcp_50
0.0,volatility_dcw_50
0.0,volatility_dcm_50
0.0,volatility_bbm_100
0.0,trend_vortex_ind_diff
0.0,volatility_bbl_100
0.0,momentum_ppo_hist_100
0.0,trend_vortex_ind_diff_200
0.0,trend_vortex_ind_neg_200
0.0,trend_sma_fast_200
0.0,trend_macd_diff_200
0.0,trend_macd_signal_200
0.0,trend_macd_200
0.0,volatility_dcw_200
0.0,volatility_kcli_200
0.0,volatility_kcw
0.0,volatility_bbp_200
0.0,volatility_kcp
0.0,^bsesn_percent_change
0.0,volatility_atr
0.0,volatility_ui
0.0,trend_macd
0.0,trend_macd_signal
0.0,other_income_qtr
0.0,trend_trix_200
0.0,trend_mass_index_200
0.0,trend_dpo_200
0.0,trend_adx_pos_200
0.0,sha_percent_change
0.0,hsi_percent_change
0.0,^gspc_percent_change
0.0,volatility_bbh
0.0,trend_visual_ichimoku_b_200
0.0,trend_cci_200
0.0,trend_adx_neg_200
0.0,trend_adx_200
0.0,trend_kst_200
0.0,trend_stc_200
0.0,trend_ichimoku_b_200
0.0,trend_ichimoku_a_200
0.0,trend_ichimoku_base_200
0.0,trend_ichimoku_conv_200
0.0,trend_kst_diff_200
0.0,trend_kst_sig_200
0.0,momentum_pvo_100
0.0,momentum_ppo_signal_100
0.0,volatility_bbw_100
0.0,momentum_ppo_100
0.0,trend_stc_100
0.0,trend_vortex_ind_pos
0.0,trend_kst_diff_100
0.0,trend_kst_sig_100
0.0,trend_kst_100
0.0,trend_dpo_100
0.0,trend_vortex_ind_neg
0.0,momentum_ppo_signal
0.0,trend_trix
0.0,trend_mass_index
0.0,trend_dpo
0.0,trend_kst
0.0,trend_kst_sig
0.0,volatility_kcli_100
0.0,trend_kst_diff
0.0,trend_ichimoku_conv
0.0,volatility_bbp_100
0.0,trend_adx_100
0.0,trend_adx_pos_100
0.0,trend_adx_neg_100
0.0,momentum_stoch_rsi_d_100
0.0,momentum_roc_100
0.0,momentum_ao_100
0.0,momentum_wr_100
0.0,momentum_stoch_signal_100
0.0,momentum_stoch_100
0.0,momentum_uo_100
0.0,momentum_tsi_100
0.0,momentum_stoch_rsi_k_100
0.0,trend_cci_100
0.0,momentum_stoch_rsi_100
0.0,momentum_rsi_100
0.0,trend_psar_down_indicator_100
0.0,trend_psar_up_indicator_100
0.0,trend_aroon_ind_100
0.0,trend_ema_fast
0.0,trend_ema_slow
0.0,basic_eps_yrly
0.0,volatility_kcl_50
0.0,trend_psar_down_indicator_10
0.0,momentum_ao_5
0.0,momentum_stoch_rsi_10
0.0,momentum_rsi_10
0.0,trend_psar_up_indicator_10
0.0,trend_macd_diff_5
0.0,trend_aroon_ind_10
0.0,momentum_wr_5
0.0,trend_aroon_down_10
0.0,trend_aroon_up_10
0.0,momentum_roc_5
0.0,trend_ichimoku_conv_10
0.0,trend_visual_ichimoku_b_10
0.0,momentum_ppo_5
0.0,trend_adx_neg_10
0.0,trend_adx_pos_10
0.0,trend_adx_10
0.0,trend_stc_10
0.0,volatility_kcc_5
0.0,volatility_kch_5
0.0,momentum_stoch_rsi_k_10
0.0,momentum_stoch_rsi_d_10
0.0,momentum_tsi_10
0.0,momentum_uo_10
0.0,profit_after_interest_but_before_exceptional_items_yrly
0.0,volume_nvi_5
0.0,cl=f_percent_change
0.0,volatility_bbm_5
0.0,volume_vpt_20
0.0,volatility_bbh_5
0.0,depreciation_and_amortisation_expense_yrly
0.0,volatility_bbp_5
0.0,volatility_bbli_5
0.0,volume_obv_10
0.0,momentum_ppo_10
0.0,momentum_roc_10
0.0,momentum_ao_10
0.0,momentum_rsi_5
0.0,momentum_wr_10
0.0,momentum_stoch_signal_10
0.0,momentum_stoch_10
0.0,trend_ichimoku_base_10
0.0,trend_kst_diff_10
0.0,net_profit_yrly
0.0,others_cr_5
0.0,others_dlr_5
0.0,topic_polarity
0.0,topic_compound
0.0,trend_macd_5
0.0,trend_macd_signal_5
0.0,volatility_bbw_10
0.0,volatility_bbl_10
0.0,volatility_bbh_10
0.0,volatility_bbm_10
0.0,momentum_pvo_signal_5
0.0,volume_nvi_10
0.0,volume_mfi_10
0.0,volume_vwap_10
0.0,volume_vpt_10
0.0,volume_sma_em_10
0.0,volume_em_10
0.0,volume_adi_10
0.0,volume_fi_10
0.0,volatility_ui_5
0.0,volatility_atr_5
0.0,volatility_dcp_5
0.0,others_dr_5
0.0,trend_dpo_10
0.0,trend_mass_index_10
0.0,volatility_kcl_5
0.0,trend_vortex_ind_neg_10
0.0,trend_ema_slow_10
0.0,volatility_kcw_5
0.0,volatility_kcp_5
0.0,volatility_kchi_5
0.0,agg_polarity
0.0,volatility_kcli_5
0.0,volatility_dcl_5
0.0,volatility_dch_5
0.0,volatility_dcm_5
0.0,volatility_dcw_5
0.0,agg_compound
0.0,momentum_pvo_hist_5
0.0,momentum_kama_5
0.0,volume_mfi_5
0.0,momentum_ppo_hist_10
0.0,volatility_bbp_20
0.0,volatility_atr_20
0.0,trend_macd_20
0.0,trend_macd_signal_20
0.0,trend_macd_diff_20
0.0,trend_ema_slow_20
0.0,inr=x_percent_change
0.0,trend_vortex_ind_neg_20
0.0,trend_vortex_ind_diff_20
0.0,trend_trix_20
0.0,trend_mass_index_20
0.0,trend_dpo_20
0.0,trend_kst_20
0.0,trend_kst_sig_20
0.0,trend_kst_diff_20
0.0,trend_ichimoku_conv_20
0.0,trend_ichimoku_base_20
0.0,trend_ichimoku_a_20
0.0,trend_ichimoku_b_20
0.0,trend_stc_20
0.0,trend_adx_20
0.0,trend_adx_pos_20
0.0,trend_adx_neg_20
0.0,ticker_compound
0.0,trend_cci_20
0.0,volume_fi_5
0.0,volume_cmf_5
0.0,volume_adi_5
0.0,other_expenses_yrly
0.0,ticker_polarity
0.0,momentum_pvo
0.0,volatility_ui_20
0.0,trend_vortex_ind_pos_20
0.0,volume_cmf_10
0.0,trend_aroon_up_5
0.0,volatility_dcw_20
0.0,volatility_dch_20
0.0,volatility_dcl_20
0.0,volatility_kchi_20
0.0,volatility_kcp_20
0.0,diluted_eps_yrly
0.0,volatility_kcc_20
0.0,volatility_bbhi_20
-3.738328362919231e-09,depreciation_and_amortisation_expense_qtr
-8.679192572661986e-09,volume_adi_20
-1.225982431506305e-08,momentum_uo_5
-2.8629262690554753e-08,momentum_stoch
-3.780446669125704e-08,volatility_kcp_100
-3.897137879471862e-08,volatility_kcli_20
-5.084539609388627e-08,trend_aroon_down_50
-5.9057462124951944e-08,volatility_bbp
-6.169342403247205e-08,others_dlr_20
-7.084466591380888e-08,momentum_ppo_200
-7.465740387822794e-08,trend_visual_ichimoku_a_50
-7.769897464820512e-08,other_expenses_qtr
-8.716386780773019e-08,others_cr_200
-9.216336862842154e-08,trend_cci_5
-1.1474955627727537e-07,trend_adx_neg
-1.1563057319042623e-07,trend_visual_ichimoku_b_5
-1.3599882262227266e-07,volatility_atr_10
-1.5826314279754656e-07,volatility_bbli_20
-1.590100617133542e-07,volume_vwap_50
-1.6654982782669553e-07,volatility_kch_10
-1.7365309808924597e-07,momentum_tsi_5
-1.9390040880098644e-07,volatility_dcw_10
-1.9564747547035756e-07,momentum_stoch_rsi_d_20
-2.0478718918913782e-07,momentum_kama_100
-2.0794512018941524e-07,trend_vortex_ind_pos_5
-2.1507079142659538e-07,^sti_percent_change
-2.1521303868490884e-07,momentum_uo_50
-2.2162619822396404e-07,others_dlr_200
-2.3118231090605079e-07,trend_macd_diff_10
-2.4142712636182295e-07,momentum_stoch_rsi_k
-2.4486548470423725e-07,trend_sma_slow_100
-2.547259867057094e-07,volatility_dcm
-2.585318141196636e-07,trend_kst_sig_10
-2.5958629557118546e-07,momentum_kama
-2.76227911060987e-07,momentum_pvo_20
-2.7665516208177194e-07,volume_obv_5
-2.8098300119283605e-07,trend_ichimoku_a_5
-3.029323734560306e-07,momentum_roc
-3.182691638813551e-07,volatility_dcp_100
-3.272332073628071e-07,volume_vpt_50
-3.537128552049159e-07,diluted_eps_qtr
-3.5897683903735894e-07,trend_psar_down_indicator_5
-3.613080390444533e-07,momentum_ppo_signal_10
-3.7988894591087047e-07,trend_ema_fast_20
-3.9292124776538487e-07,others_dlr_10
-4.137196687514055e-07,trend_visual_ichimoku_b_100
-4.1400188172210207e-07,trend_psar_down_indicator_20
-4.1925795083125234e-07,volatility_kch_20
-4.276819850241107e-07,volume_vwap_5
-4.397848332263953e-07,volume_cmf_50
-4.4054992144581333e-07,trend_aroon_down_200
-4.4129833778009454e-07,volume_em_50
-4.4347593030965386e-07,volume_adi
-4.5771209160384714e-07,momentum_rsi_20
-4.6485732358216206e-07,trend_aroon_up_50
-4.7179117385181406e-07,volatility_bbhi_5
-4.7220061049686e-07,volatility_bbl
-4.92099257698134e-07,trend_sma_fast_20
-4.928124309697211e-07,trend_visual_ichimoku_a_100
-5.413489109355622e-07,volume_vpt_5
-5.638596970316151e-07,trend_vortex_ind_diff_50
-5.683305589385615e-07,trend_aroon_ind
-6.023316366056153e-07,trend_cci_10
-6.130848624141186e-07,volatility_kcw_100
-6.333837922593949e-07,momentum_pvo_hist_20
-6.431369955186083e-07,volume_nvi_200
-6.508259178247804e-07,trend_vortex_ind_diff_10
-6.626150949765799e-07,momentum_pvo_hist
-6.701487855931416e-07,trend_ichimoku_b_100
-6.848120279566691e-07,trend_ichimoku_b_50
-6.932664306814629e-07,volatility_kcl
-7.08027468066417e-07,momentum_pvo_5
-7.111618713696442e-07,volatility_atr_100
-7.113159840722783e-07,volatility_bbw_5
-7.121285141592778e-07,volume_adi_200
-7.260801065168416e-07,volatility_bbli_200
-7.301651743288402e-07,trend_vortex_ind_neg_5
-7.417218026924418e-07,volume_obv
-7.667880136502191e-07,momentum_tsi
-7.689180996126421e-07,momentum_ppo_signal_20
-8.262441927964065e-07,volatility_kch_100
-8.439141500933715e-07,volatility_dcp_20
-8.909079271417042e-07,volume_mfi_20
-9.238608562760153e-07,others_dr_20
-9.359955828439681e-07,trend_trix_100
-9.422490286081935e-07,volatility_bbli
-9.98149500394309e-07,trend_ichimoku_base_100
-1.0197012752493314e-06,volatility_kcc
-1.0708962977725281e-06,trend_cci
-1.0758595351255345e-06,trend_vortex_ind_pos_100
-1.0783001521170894e-06,trend_ema_fast_100
-1.1438071586096773e-06,trend_visual_ichimoku_b
-1.1924391565473925e-06,trend_ema_fast_5
-1.1962185726446316e-06,trend_trix_50
-1.293115525479817e-06,trend_kst_10
-1.3059227879625607e-06,trend_macd_diff
-1.375681026410428e-06,momentum_pvo_signal
-1.461990235137018e-06,momentum_tsi_20
-1.4977244235991543e-06,trend_visual_ichimoku_b_20
-1.5196561143462144e-06,trend_sma_slow_20
-1.537116100230578e-06,momentum_pvo_hist_10
-1.5424200745470277e-06,trend_mass_index_100
-1.5736201581380233e-06,volatility_kcl_100
-1.578004032976807e-06,volume_vwap_200
-1.5909028059114367e-06,momentum_roc_20
-1.6153480511538112e-06,momentum_stoch_signal_50
-1.654105044109134e-06,momentum_ao
-1.6934299550401232e-06,trend_ichimoku_base_5
-1.703750953822739e-06,trend_visual_ichimoku_a_10
-1.750745376883982e-06,momentum_ppo
-1.751925765947119e-06,volatility_bbl_20
-1.7868901599656173e-06,volatility_kch
-1.7881566109320463e-06,momentum_stoch_signal
-1.7939259905059111e-06,trend_ema_slow_5
-1.8588537133893764e-06,trend_aroon_ind_200
-1.8790340638223436e-06,others_dlr_100
-1.9576820818820857e-06,trend_adx_neg_5
-2.0290886957312647e-06,low
-2.034674526054047e-06,volatility_kchi_10
-2.0626870635885095e-06,trend_aroon_up_200
-2.0779153308641434e-06,volume_fi_20
-2.08646338582761e-06,trend_dpo_5
-2.12600041843981e-06,momentum_ppo_hist_5
-2.1690129284131808e-06,volatility_bbli_100
-2.2231338064518755e-06,yesterday_close
-2.2340905915236555e-06,volatility_kcl_20
-2.236016574959716e-06,volatility_bbw_20
-2.236602455377209e-06,trend_trix_5
-2.3062220774105014e-06,volatility_bbm
-2.349397040927523e-06,trend_vortex_ind_diff_5
-2.3719001600976255e-06,momentum_wr_200
-2.419614488004998e-06,others_dr_100
-2.446710074553692e-06,volatility_kcc_10
-2.5315032049179974e-06,volatility_dch
-2.635176831516117e-06,trend_visual_ichimoku_a
-2.6696044871793e-06,expenditure_qtr
-2.699029540947967e-06,momentum_stoch_rsi_k_20
-2.718696088294565e-06,trend_ichimoku_a_100
-2.778230993923975e-06,trend_adx_pos_50
-2.884129405031529e-06,volume_obv_20
-3.0020971982436183e-06,trend_ema_fast_50
-3.0394656435410117e-06,volatility_bbm_20
-3.0836174941036838e-06,volume_vpt
-3.087384285128288e-06,volatility_bbh_200
-3.162122510702768e-06,momentum_stoch_20
-3.3136956653610588e-06,trend_mass_index_5
-3.44876846329502e-06,trend_ichimoku_conv_50
-3.4994497119727537e-06,volume_obv_200
-3.590346804639573e-06,trend_adx_neg_50
-3.8087031457394106e-06,net_profit_qtr
-4.116849896853874e-06,volatility_kcl_200
-4.253321307785837e-06,volatility_kcli_10
-4.6655721532989755e-06,open
-4.758372493425239e-06,tax_qtr
-4.946010035059937e-06,trend_macd_10
-4.979199973733648e-06,momentum_rsi
-4.981932412761359e-06,trend_kst_sig_5
-5.053861064366448e-06,volume_cmf
-5.716085555494162e-06,momentum_ppo_hist_20
-5.924073320439304e-06,volume_mfi_50
-5.9345751813695964e-06,momentum_stoch_rsi_20
-5.978665151601649e-06,momentum_pvo_hist_100
-6.322859301998529e-06,volume_mfi
-6.561535772535899e-06,volatility_dch_100
-6.606017197887348e-06,momentum_ppo_signal_200
-7.1092356012733734e-06,momentum_uo_200
-7.595361205959511e-06,momentum_pvo_signal_200
-8.555457454251215e-06,trend_aroon_down
-1.1658410874853627e-05,trend_psar_down_indicator_200
-1.4246033788285658e-05,volatility_bbli_10
-1.5015921668727805e-05,trend_ichimoku_base_50
